node_id, twitternum, twitterhandle, trumporhillary, lastlocation, pagerank, numtweets
307, 714838816884916228, inaneimperium, 7, None, 1.86646220612e-05, 4.0
308, 3476832795, camefromempires, 0, None, 6.09831948533e-05, 1.0
309, 721455747901603841, ebolajulius2, 0, None, 5.50625646685e-05, 13.0
310, 574251558, primetime_tony, 0, None, 2.29688989348e-06, 5.0
311, 2395426856, tyrsdisciple, 0, None, 2.54516610835e-05, 8.0
312, 540600123, franz_soapbar, 3, None, 5.58574059315e-05, 8.0
313, 864848954, brian_3080, 0, None, 4.83148660438e-06, 1.0
314, 4837088320, its2016cmon, 0, None, 3.87866809279e-05, 8.0
315, 19038534, hienergi, 0, None, 1.9655105523e-05, 1.0
316, 733398220819177472, jennyriarchi, 7, None, 6.43909779435e-06, 3.0
317, 3296369028, wolfe_fan, 7, None, 5.07848054099e-05, 2.0
318, 3563466317, thetruthoffends, 0, None, 1.55093158285e-05, 4.0
319, 725873063628312576, rjma03, 0, None, 7.66743377039e-06, 1.0
320, 726404417881276416, gorillamindset, 3, None, 1.82728615444e-05, 5.0
321, 53979469, ramzpaul, 0, None, 3.36791564701e-05, 30.0
322, 3161255514, alexrileyiscool, 0, None, 9.16886935135e-05, 6.0
323, 4368947293, fullblowngrids, 0, Georgia, 1.45889846951e-05, 1.0
324, 750801767567396864, swiftlampshade, 7, None, 6.1470698071e-06, 1.0
325, 3566638694, charlesmpowell, 0, None, 1.08290810613e-05, 1.0
326, 2781738769, american_neet, 0, None, 1.10830267295e-05, 1.0
327, 2287258728, contrariangent, 0, None, 2.7733650232e-05, 5.0
328, 2926205539, pup_rules, 0, None, 5.01803010193e-06, 1.0
329, 2740951680, 2partyhoax, 0, None, 6.89868502492e-05, 8.0
330, 3972215427, le_skooks, 0, None, 3.81099190588e-05, 2.0
331, 1256618628, alimonymindset, 7, None, 4.61793608848e-05, 3.0
332, 3755693362, famesblond, 0, None, 4.54471671924e-05, 47.0
333, 2164857486, nowaygray, 0, None, 2.29688989348e-06, 1.0
334, 416016530, mikema_, 0, North Carolina, 3.86492943739e-05, 10.0
335, 3540668052, her_dimension, 0, None, 7.22609132545e-05, 3.0
336, 721198211944157184, volkssturm_45, 3, Illinois, 9.39782890921e-06, 1.0
337, 3089436840, vociferousvenom, 0, None, 4.96194284986e-06, 1.0
338, 586617002, mister_gonzo, 0, New York, 5.06606048529e-06, 1.0
339, 3596501833, thenordicnation, 0, None, 1.81195486659e-05, 2.0
340, 2393417394, tayloredwards99, 0, None, 3.4344042235e-05, 14.0
341, 4838532895, paultown_, 3, New York, 5.70054196411e-05, 6.0
342, 219213505, aburbeconditax, 7, None, 4.18017767115e-05, 12.0
343, 97913549, zagowski, 0, Indiana, 7.24832627102e-06, 9.0
344, 223372452, thirdi11, 0, None, 1.281054181e-05, 4.0
345, 1072807633, strthry, 0, None, 5.32394555392e-05, 4.0
346, 3121915096, n1k0lak1, 0, None, 5.16748216001e-05, 4.0
347, 56432677, verticalpush, 0, None, 2.41339631873e-05, 2.0
348, 93552356, aplusplusplus, 0, None, 2.36787498733e-05, 39.0
349, 24289000, big_sean_carp, 0, None, 3.20196050609e-06, 2.0
350, 751011565, knight4trump, 0, Nevada, 1.15327635831e-05, 2.0
351, 3560774897, worldwarmeme, 0, None, 3.25568331922e-05, 5.0
352, 1360275698, john_young5, 0, None, 4.01636187493e-06, 1.0
353, 1056022772, tr1ckma2ter, 0, None, 5.26927437624e-06, 5.0
354, 3054264567, iamcynegold, 0, None, 4.98707562356e-05, 2.0
355, 856897022, anthonylefevre3, 4, None, 7.72861977218e-06, 6.0
356, 47425279, endtaysachs, 0, None, 4.26929737131e-05, 1.0
357, 1238467843, trumpcoulter16, 0, None, 2.3525767325e-05, 3.0
358, 3159885572, whispererofcats, 0, None, 1.38459562442e-05, 5.0
359, 3258129164, pcuser013, 0, None, 1.58615501574e-05, 1.0
360, 1247473934, selimseesyou, 0, None, 9.98067778175e-06, 14.0
361, 173673231, neets4trump, 7, None, 2.07150072487e-05, 2.0
362, 901103376, q1776, 0, Washington DC, 0.000111311120886, 16.0
363, 3286480659, pinchicagoo, 0, Illinois, 3.17302707058e-05, 13.0
364, 3707114773, 30piecesofag_, 3, None, 3.05285434938e-05, 5.0
365, 3258894105, oldgoyjenkins, 0, None, 1.72872029642e-05, 1.0
366, 534794526, saint_dustino, 0, None, 5.46477218598e-06, 1.0
367, 3065380127, miyazakinoise, 0, Ohio, 1.91578211241e-05, 8.0
368, 706954386296057856, roseredsnowhite, 0, None, 1.16879662846e-05, 1.0
369, 700730652539297792, desertfoxmulder, 0, None, 2.19262912472e-05, 11.0
370, 3154508072, demsrrealracist, 0, None, 6.37183899479e-05, 1.0
371, 1358297388, paleodeadlift, 0, None, 4.70322128128e-05, 10.0
372, 725197907981262848, lucidhurricane_, 7, North Carolina, 9.71593072153e-05, 37.0
373, 736847435314528256, incestishalal, 7, None, 1.29493465087e-05, 2.0
374, 4790219592, culturalheresy1, 3, None, 2.74489154805e-05, 2.0
375, 3409274020, infinite_jw4, 0, None, 1.01333109895e-05, 5.0
376, 34904580, teatimevice, 0, None, 3.12960691748e-06, 1.0
